verb_class,avg_mae,avg_quality_score,avg_output,count
0,0.23128617671289947,0.41922506531819814,0.43534124,369
1,0.24406995666272016,0.40349734764348216,0.43799013,279
3,0.20325056477897704,0.39717732432937003,0.45974457,148
2,0.21019210958481768,0.4158418856924303,0.44655764,139
5,0.23602348845616034,0.429585384929875,0.41519877,91
10,0.21750919145393532,0.43197517850547745,0.47525227,85
4,0.22158707851325846,0.39366113229159116,0.42231393,84
7,0.22541787905674102,0.46862687572745637,0.41080537,74
9,0.23621723589303723,0.4711544801161726,0.41068193,59
12,0.25587255877577186,0.3848410735976288,0.44021162,49
6,0.16584897687739844,0.4019349924251803,0.46094623,48
11,0.23013141711581556,0.4219867140517089,0.43992588,45
8,0.22929981654559484,0.3181276778708089,0.46798027,29
13,0.1854656791119782,0.3880692319756775,0.46252334,27
14,0.3092274418165737,0.3666578469114701,0.38938487,18
16,0.28001293762609336,0.557963621271267,0.37765926,17
22,0.2663635290658423,0.4312758375258375,0.45030275,16
19,0.2617865055221335,0.49037055780476835,0.50589335,16
18,0.24975862314763672,0.3972171958582657,0.4619756,14
25,0.26579806569768105,0.4569597069597069,0.38340542,13
21,0.24469993547425276,0.4439853974393448,0.42539033,12
17,0.21081320635437037,0.32284356725146196,0.40137628,12
26,0.18129913454967586,0.40605931888826624,0.42715633,12
23,0.159963940809677,0.36894294161530805,0.42314765,11
15,0.37113226688142853,0.25717384050717385,0.50217324,9
27,0.1467933859668132,0.3889067639067638,0.44788557,9
24,0.15859726471888477,0.4696070660982941,0.47394854,9
20,0.21862098121342605,0.3219212802546136,0.5405423,9
30,0.3272977737443788,0.35714285714285715,0.34170446,7
31,0.14668995265683604,0.4549808429118774,0.39231572,6
52,0.19374622962279628,0.4568713450292397,0.5063075,6
29,0.1392054542313274,0.525982905982906,0.47604218,5
35,0.2537185210874361,0.3470754336425978,0.3851866,5
74,0.20866647838953278,0.47619118632898155,0.5675037,4
32,0.12344918565617669,0.2222222222222222,0.34567142,4
38,0.237543225128576,0.4526490776490776,0.38647258,4
40,0.2863875769122302,0.21308479532163743,0.49947238,4
57,0.12011000034753339,0.42616959064327486,0.34086835,4
55,0.12298231030631271,0.5178952991452992,0.47321486,4
84,0.23863136602772608,0.2569444444444444,0.43014455,4
63,0.31174400448799133,0.09375,0.405494,4
36,0.236405982988953,0.30193173943173945,0.5383377,4
39,0.2461131066955321,0.32419590643274854,0.57030904,4
47,0.3083329278009909,0.6296296296296297,0.3212967,3
59,0.15968091762255113,0.30952380952380953,0.35291097,3
42,0.05680461062325374,0.4444444444444444,0.5012491,3
94,0.28486739264594185,0.7222222222222222,0.44676924,2
56,0.19727861652007467,0.1634615384615385,0.36074015,2
65,0.33369599448310006,0.2222222222222222,0.5559182,2
33,0.14467540198291834,0.5383986928104576,0.43520164,2
72,0.4466876295350846,0.4702380952380952,0.32143408,2
50,0.22036584446559085,0.2128378378378378,0.4332037,2
76,0.0015842053625318986,0.4444444444444444,0.44602865,1
73,0.08360683917999268,0.375,0.45860684,1
69,0.5815897583961487,1.0,0.41841024,1
70,0.3305666446685791,0.0,0.33056664,1
67,0.05696161805080768,0.3802521008403361,0.43721372,1
66,0.4644480347633362,0.0,0.46444803,1
28,0.004605862829420326,0.4444444444444444,0.4490503,1
34,0.5807440876960754,0.0,0.5807441,1
44,0.35195672512054443,0.0,0.35195673,1
41,0.057867199182510376,0.375,0.4328672,1
37,0.05851721136193522,0.4078947368421053,0.46641195,1
60,0.06730722540464151,0.3910256410256411,0.45833287,1
64,0.7987007200717926,1.0,0.20129928,1
61,0.20566657185554504,0.0,0.20566657,1
77,0.008055064413282631,0.4444444444444444,0.4524995,1
85,0.6038019061088562,0.0,0.6038019,1
